num_insee	ArCom	ArVoiCom	PeVoiCom	LeTroCom	ArUrb	ArVoiUrb	PeVoiUrb	LeTroUrb	PaArVoi	PaLeTro	PaArVoiCom	PaArVoiUrb	RaLeArTroCom	RaLeArTroUrb	RaPeArVoiCom	RaPeArVoiUrb
2B049	184.35618941453555	0.9561010248797729	139.42285223936508	69.83705602283361	2.1557563913602382	0.21235688217391202	33.136312041344326	16.79570235920327	22.2107158812653	24.049843042799257	0.5186161787765772	9.850690134793902	0.37881590113473734	7.79109477606861	142.58770245502436	71.90697201047837
2B314	126.16396042967669	0.4257642180342683	68.3876606218963	32.80785989772643	0.3140670526585932	0.040144880209813556	6.79771263801249	3.607421203862034	9.428899496336358	10.995600490576427	0.33746897020689803	12.782264127989599	0.2600414554678902	11.486149767462186	104.80769454844196	33.927176519873555
2B356	13.249079139967034	0.09541351351492203	15.57606505734975	7.842077019786463	0.0	0.0	0.0	0.0	0.0	0.0	0.7201520385450686	0.0	0.5918960055216317	0.0	50.425801295895255	0.0
2B157	6.596877019983572	0.056937544727969074	10.00848315994586	5.1529422520000905	0.0	0.0	0.0	0.0	0.0	0.0	0.8630984715266203	0.0	0.7811184347367025	0.0	41.94390828122253	0.0
2B050	31.59593719992088	1.1143716250038522	160.11282036882224	85.8669712505369	5.997607285865913	0.7839773512371669	113.44131360720141	60.63035117136403	70.35151772053213	70.60963055801845	3.526945942298691	13.071501915183816	2.717658625133358	10.109089888937342	151.67398070341164	128.12075483626552
2B304	10.1759462299756	0.19813532812919804	30.977171320545878	16.012643132613587	0.0	0.0	0.0	0.0	0.0	0.0	1.9470948809216844	0.0	1.5735778050246225	0.0	69.5922372505435	0.0
2B277	43.73804424489719	0.4220114674392562	69.01679806878565	34.610764170195786	0.3426474618815307	0.040750108228301	6.704920509386391	3.4758474173489753	9.656161353996032	10.042677475298614	0.9648613117594786	11.892721459115965	0.7913194283769042	10.144092118069558	106.24112988503609	33.214617093628256
2B143	64.98486883984084	0.8176389841239333	119.68055790756917	59.780481341033806	1.650723759216645	0.07852531291406935	11.281430245839285	5.239502779817649	9.603910092203591	8.764571081198724	1.2581990218970116	4.757023243630644	0.919913856999026	3.174063952592569	132.35574900560638	40.258660853826335
2B320	70.17865429483061	0.4935603826829246	70.39271342411774	35.52544663954164	0.5604686914346884	0.03461087049426931	5.643824711767321	2.663096783586793	7.012489597752862	7.496307676601116	0.7032913179118633	6.175344140218138	0.5062144179951661	4.751553163067495	100.19765559371936	30.33662447455244
2B016	48.276752569884785	0.42526833992585955	70.54603591744134	35.31467099852697	0.004513697682290602	0.0	0.0	0.0	0.0	0.0	0.8808967407454484	0.0	0.731504691567767	0.0	108.17853337306974	0.0
2B124	125.99633383969916	0.979495005073693	142.59276335843884	72.17983341318143	0.11292225770904797	0.010120575792040041	1.5401962660818342	0.7173074214416141	1.0332442472515326	0.9937781614644456	0.7773996077694381	8.96242777762769	0.5728724893298354	6.352223520803192	144.0775691784873	15.30993882580975
2B347	46.4084587898906	0.2362033426346587	37.92513505775522	18.91095195561965	0.0	0.0	0.0	0.0	0.0	0.0	0.5089661427974681	0.0	0.4074893338138418	0.0	78.03404440615425	0.0
2B283	94.40756118978541	0.5034433600790834	71.23316153487674	36.903954505018206	1.7607690474145696	0.21365240622862539	31.427894294211722	16.43645455474103	42.43822109304685	44.538464170570116	0.5332659309639642	12.134039188293464	0.3909004113646259	9.334815703896854	100.39380424604522	67.99255943522459
2B216	0.830301629997974	0.01809658296694704	3.0934736363143887	1.5459128945656986	0.0	0.0	0.0	0.0	0.0	0.0	2.1795191425784863	0.0	1.861869034954768	0.0	22.99577920156627	0.0
2B220	10.53403954997457	0.12825809744332167	18.104920831328016	9.138966615042902	0.0	0.0	0.0	0.0	0.0	0.0	1.2175585333133792	0.0	0.8675652461419668	0.0	50.55384975515103	0.0
2B298	18.158822934954692	0.357095960249863	52.76354692692355	28.15274932038863	2.060774635828351	0.2829708342081962	40.97326817031043	21.89688687678876	79.24223897974066	77.77885785716394	1.9665149086424198	13.731284794004313	1.5503620152711661	10.625561134193145	88.29609847189809	77.02465621710287
2B176	3.0990108549937045	0.08827422005461791	15.936701869159362	8.072990069762021	0.0	0.0	0.0	0.0	0.0	0.0	2.848464370893507	0.0	2.6050215528459066	0.0	53.63910265103112	0.0
2B120	19.04737552994748	0.9616814562161919	122.0235240747277	71.67867460730409	3.620961242588244	0.7070423394308009	96.02729538238565	56.05518411341552	73.52146959479828	78.20343277901999	5.0488921935947335	19.52637137108407	3.763178527908287	15.48074678461556	124.43081408787907	114.20154686677829
2B274	6.889847524984185	0.05276625032304878	10.271303697070447	5.056744908612754	0.0	0.0	0.0	0.0	0.0	0.0	0.7658551242492105	0.0	0.7339414827796732	0.0	44.71440475284798	0.0
2B273	2.822216274992837	0.08345380592001107	12.106938285584125	6.248618502337349	0.0	0.0	0.0	0.0	0.0	0.0	2.9570308505227114	0.0	2.2140820877922294	0.0	41.90938182039572	0.0
2B246	5.1444950699850684	0.1696152294264776	26.070100796232758	13.019101082772675	0.0	0.0	0.0	0.0	0.0	0.0	3.297023850135984	0.0	2.5306858896086886	0.0	63.30095880673256	0.0
2B194	4.174573704991043	0.10429479551733829	15.59121014103454	7.764107914104539	0.0	0.0	0.0	0.0	0.0	0.0	2.4983340309130337	0.0	1.8598564698526978	0.0	48.27791509353843	0.0
